Designator,Mid X,Mid Y,Layer,Rotation
BLUE,11.95, 1.83,Top,270.0
BOOT,31.65,48.24,Top,270.0
C1, 5.58,11.30,Top,270.0
C2, 2.53,15.52,Top,180.0
C3, 2.52,13.92,Top,180.0
C4, 3.31,61.11,Top,270.0
C5,16.30,17.70,Top,180.0
C6,27.10,19.00,Top,270.0
C7,28.80,15.20,Top,270.0
C8,24.90, 5.50,Top,270.0
C9,19.40, 8.40,Top,180.0
D1, 2.65, 9.32,Top,90.0
EN, 4.45,48.16,Top,270.0
Q1,19.20, 5.70,Top,270.0
R1, 4.28,20.38,Top,270.0
R2,13.08,21.29,Top,270.0
R3,14.78,21.30,Top,270.0
R4, 6.22,59.09,Top,90.0
R5,28.42,43.62,Top,180.0
R6,11.86, 4.12,Top,180.0
R7,16.90, 3.38,Top,180.0
R8,14.45, 3.32,Top,90.0
R9,30.22,53.24,Top,180.0
R10,30.22,60.76,Top,180.0
R11,16.30,15.70,Top,0.0
R12,17.50,37.85,Top,0.0
R13,17.40,39.72,Top,180.0
R14,26.30,22.70,Top,180.0
R15,29.00,11.40,Top,180.0
R16,26.90,13.60,Top,90.0
RED,17.25, 1.93,Top,270.0
T1,15.60,43.20,Top,0.0
T2,19.00,43.20,Top,0.0
U$1, 5.65, 1.94,Top,0.0
U1,17.60,56.90,Top,90.0
U2, 8.30,19.70,Top,270.0
U3,21.90,14.80,Top,180.0
U4,11.00,10.80,Top,0.0
